6623ed8,songshu,2 weeks ago,Merge branch 'db' of github.com:KatrinaaDing/COMP90018-Property-Management into db
51207a0,songshu,2 weeks ago,implemented FirebaseUserRepository.java
fcbad86,Qiao Chen,2 weeks ago,Update README.md
13be739,songshu,2 weeks ago,implemented FirebasePropertyRepository
fc64f12,Lan Lin,2 weeks ago,carousel finished
a840f33,Lan Lin,2 weeks ago,carousel not finish
fafc72d,Lan Lin,2 weeks ago,carousel not finish
7868f86,songshu,2 weeks ago,Working addProperty() in FirebasePropertyPrepository.java
27f210c,songshu,2 weeks ago,add object classes
1f1ada6,KatrinaaDing,2 weeks ago,fix ui bug on emulator
1e3eec2,KatrinaaDing,2 weeks ago,Merge pull request #3 from KatrinaaDing/firebase-functions
33101ad,KatrinaaDing,2 weeks ago,add loading status
6715860,KatrinaaDing,2 weeks ago,rename attibutes
4d7768a,KatrinaaDing,2 weeks ago,handle enter url
611fc00,KatrinaaDing,2 weeks ago,refactor
acf5890,KatrinaaDing,2 weeks ago,handle add a new property by entering url
8560151,KatrinaaDing,2 weeks ago,implement room and parking number setting when add new property
78ec7aa,KatrinaaDing,3 weeks ago,create a custom arrow number picker
4560478,KatrinaaDing,3 weeks ago,Merge branch 'develop' into firebase-functions
c01c66e,KatrinaaDing,3 weeks ago,implement firebase functions helper
4f655d0,KatrinaaDing,3 weeks ago,create firebase functions
2290e86,Lan Lin,3 weeks ago,git ignore idea
7b3e74c,KatrinaaDing,3 weeks ago,Merge remote-tracking branch 'origin/develop' into develop
7b67107,KatrinaaDing,3 weeks ago,delete unused code and restructure project
9d3816c,KatrinaaDing,3 weeks ago,Update README.md
85ed3c1,KatrinaaDing,3 weeks ago,Merge pull request #2 from KatrinaaDing/init-sensors-screen
52c732d,KatrinaaDing,3 weeks ago,create new screens
8a6bdb2,KatrinaaDing,3 weeks ago,Merge pull request #1 from KatrinaaDing/firebase-authentication
57f9fd2,KatrinaaDing,3 weeks ago,create basic profile view
77e8bc2,KatrinaaDing,3 weeks ago,refactor code
85e55a8,KatrinaaDing,3 weeks ago,create input validator
f946010,KatrinaaDing,3 weeks ago,remove temporary login/logout buttons
9f2edb8,KatrinaaDing,3 weeks ago,implement firebase authentication
48c8f8c,KatrinaaDing,3 weeks ago,update gitignore
d70380c,KatrinaaDing,3 weeks ago,hide secrets
0fb26f9,KatrinaaDing,3 weeks ago,update gitignore
ecdb9c4,KatrinaaDing,3 weeks ago,update
8094b94,KatrinaaDing,3 weeks ago,add key
ce8c7e6,KatrinaaDing,3 weeks ago,create firebase authentication helpers
75e6133,KatrinaaDing,3 weeks ago,create login and register activity
3dbdafd,KatrinaaDing,3 weeks ago,init project structure
917053c,KatrinaaDing,3 weeks ago,add project structure
8b7cfda,KatrinaaDing,3 weeks ago,create app framework
e825a0c,KatrinaaDing,4 weeks ago,Update README.md
faa1095,KatrinaaDing,4 weeks ago,Initial commit
